uid	iids
0	14776
1	20133,20527
3	20200,6577
4	19921,19928
5	16277,19997
6	1005,20201
7	1325,13002
8	20432,1833
9	7983
10	18980,14349
11	6884
12	18591,13253
13	1905
14	5408,5448
15	11405,11475
16	326,7316
17	11922,19630
18	3177,749
20	10188,10188
21	18402
22	17032
23	14044,19001
24	15151
25	20690
26	20224,7206
27	19674,20239
28	13360,15211
29	5861,3954
30	17215,9612
31	3493,5703
32	89,308
33	16130,16960
34	338
35	19151,14512
36	18901,19516
37	18214,19620
38	3922,15354
39	649
40	11914,7370
41	16679,16865
43	5575
44	12994,17233
45	19964,1994
46	12853
47	19927
48	16557,19690
49	10974,19151
50	20073
51	18497,19843
52	16079,18893
54	7198,14706
55	2576,1820
56	18143
57	14230
58	19839
59	637
60	2839,3925
61	387,1770
62	8919
63	1789,3912
64	1187
65	19993,20372
66	19462,20769
67	10839,10839
69	18482,18208
70	1135,19737
71	5381,16484
72	13123,1016
73	3949
74	317,2389
75	16676
76	20692
77	13456
78	8719
79	15769
80	19011,9004
81	53,4407
82	2725,3439
84	4479,264
85	4756,2981
86	8321,19631
87	17095
88	15899,18731
89	7462,20094
90	9165,1259
91	7702,1003
92	8144,2656
93	11353
94	17077
95	5365
96	1521,19989
98	14429,2328
99	318,20306
100	3789,19549
101	3064,6487
102	428
103	15328,20666
104	9798,557
105	20480,8315
106	16885,19917
107	17403,18910
108	19900
109	2259,2247
110	9720,1814
111	17031,17576
112	8586
113	18970,19482
114	11556,11609
115	7948,19758
116	11059,2406
117	15869,19923
118	18444,13756
119	6586
120	20195
121	16984,17221
122	19457
123	6436,20155
124	6429,6614
125	6494,14497
126	4905,6188
127	3658,5630
128	13500,2733
129	19770
132	17201,20738
133	2733,15935
134	10905
135	17869
137	19156,20241
138	3919,19590
139	20717
140	20127,19497
141	16892,18901
142	15283,18555
143	15320,520
144	16984,2507
145	14940,16215
146	9843,9843
148	14535,18813
151	5115,19324
152	19704,18381
153	12756,2843
154	20226
155	17709,17315
157	525,3369
158	11088,4954
159	1999,4471
161	19642,18679
164	8018,18882
165	19674
166	816
167	10303,10303
168	8681,20423
169	12273,12921
170	4710
172	16729,16766
173	16127,18839
174	15535,5030
175	869,6502
176	10167,10167
179	2228,20414
180	8131,8167
181	14825,17221
182	20122,19976
183	19334,14452
184	1664,375
185	14835,19752
186	5218,4992
188	1130
190	19997,20147
191	5042,4995
192	20256,8992
193	3859
194	16559,2809
196	18941,19984
197	18774
198	19456,18655
199	5255,1448
200	16559
201	20364,18994
202	4859
203	17605,17084
204	8184,6908
205	20524,19836
206	540,868
207	15856,16072
208	18132,18554
209	20087
210	6469,20117
211	14623,19857
212	19760,20509
213	4326,14257
214	3734,4518
215	17985
216	1294,3523
217	12201,16185
219	11821,20747
220	14166
221	20200,18005
222	5365,4279
223	19690,17221
224	4051
225	19778,20037
226	4357,11149
227	19403,19674
228	19402,20363
229	2051
230	177,18633
231	15398,122
232	272,13386
234	8902,12081
236	242,14236
237	2905,685
240	3423,2233
241	18234,648
242	16378,9002
243	4315,5591
244	17098,7680
245	11486
246	19072,19479
247	6084
250	9245,453
251	321,7211
252	5045,1105
254	1117,2978
255	13296,13349
256	13767,13808
258	2646,9533
259	17188
260	12963
261	14086,17967
262	19908,19958
263	16095,14948
264	19558,11548
265	371,5600
266	4820,12176
267	12318,12341
268	13106,2059
270	9377,12920
271	19700,10922
272	12249,19754
273	10214,16877
274	4427,19419
275	17196
276	19813,1935
277	5722,7805
278	14166,20182
279	6693
280	2585,3514
281	17080,13184
282	20201
283	12159
284	2128,16179
285	16526
286	14001
287	715,19066
288	18149
289	18516,19754
290	11022
291	574,2572
292	4568,20344
294	10842
295	18899
296	14799
297	6455,18252
298	1054,1066
299	2599,16366
300	18609,18522
301	11680,1072
302	1051,5820
303	17239
304	11556
305	2644,4101
306	20414
307	4506,20283
308	11623,13201
309	9532
311	13790,14270
313	14185,16031
314	18665
315	9001,9111
316	7354,16545
317	8884,2255
319	13359,15168
320	143
322	318,4889
323	12112
325	2916
327	4325
328	5644,14598
329	20195
330	20164
331	18813,17667
332	20018,3275
333	16421
334	5053
335	6201
336	2316,14181
